q,ym,tstat,kind,asof,nowcast,nc_sd,naive,actual,implied,naive_implied,price,outcome,pnl,naive_pnl,pf_pnl,vol,ntrades
Will annual inflation increase by ≥2.8% in March?,2026-03,YoY,GT,2026-04-07,3.252,0.156,2.679,3.256,0.998,0.367,0.989,1.0,-0.0089,-0.0311,-0.0089,1900362.231388996,3500
Will annual inflation increase by 2.3% or less in April?,2025-04,YoY,LT,2025-05-10,2.342,0.16,2.319,2.311,0.396,0.477,0.439,1.0,-0.5813,0.5413,-0.5813,610442.308284,1266
Will monthly inflation increase by 0.2% in May?,2025-05,MoM,BUCKET,2025-06-08,0.125,0.15,0.325,0.209,0.231,0.123,0.445,0.0,0.4254,0.4254,-0.4654,342438.210791,819
Will annual inflation increase by ≥3.4% in March?,2026-03,YoY,GT,2026-04-07,3.252,0.156,2.679,3.256,0.172,0.022,0.464,0.0,0.4442,0.4442,0.4442,308290.3319040008,3301
Will annual inflation increase by 2.5% in May?,2025-05,YoY,BUCKET,2025-06-08,2.401,0.159,2.473,2.355,0.205,0.132,0.304,0.0,0.2836,0.2836,0.2836,304633.105943,1322
Will monthly inflation increase by 0.1% in May?,2025-05,MoM,BUCKET,2025-06-08,0.125,0.15,0.325,0.209,0.257,0.101,0.404,1.0,-0.6163,-0.6163,-0.6163,266648.794195,616
Will monthly inflation increase by 0.2% in April?,2025-04,MoM,BUCKET,2025-05-10,0.218,0.151,0.319,0.311,0.258,0.113,0.33,1.0,-0.6901,-0.6901,-0.6901,253721.443731,422
Will annual inflation increase by 2.4% in April?,2025-04,YoY,BUCKET,2025-05-10,2.342,0.16,2.319,2.311,0.231,0.115,0.336,0.0,0.316,0.316,0.316,249690.303175,567
Will annual inflation increase by 2.2% or less in May?,2025-05,YoY,LT,2025-06-08,2.401,0.159,2.473,2.355,0.103,0.182,0.043,0.0,-0.0634,-0.0634,0.0234,235529.634515,1855
Will annual inflation increase by 3.0% in September?,2025-09,YoY,BUCKET,2025-10-12,2.988,0.157,2.928,3.013,0.249,0.224,0.375,1.0,-0.6452,-0.6452,0.6052,231571.750576,1258
Will annual inflation increase by 3.3% in March?,2026-03,YoY,BUCKET,2026-04-07,3.252,0.156,2.679,3.256,0.24,0.025,0.393,1.0,-0.6272,-0.6272,0.5872,216587.2860720001,2554
Will annual inflation increase by 2.6% or less in August?,2025-08,YoY,LT,2025-09-08,2.841,0.158,2.779,2.916,0.063,0.181,0.017,0.0,-0.0373,-0.0373,-0.0027,211621.159452,1766
Will monthly inflation increase by 0.4% in July?,2025-07,MoM,BUCKET,2025-08-12,0.16,0.149,0.064,0.151,0.076,0.046,0.074,0.0,-0.0936,0.0536,0.0536,197065.336828,1528
Will annual inflation increase by 2.6% or more in June?,2025-06,YoY,GT,2025-07-12,2.641,0.159,2.646,2.669,0.602,0.544,0.71,1.0,-0.3101,-0.3101,0.2701,186674.380591,1229
Will monthly inflation increase by 0.2% in July?,2025-07,MoM,BUCKET,2025-08-12,0.16,0.149,0.064,0.151,0.253,0.16,0.88,1.0,-0.1403,-0.1403,-0.1403,186232.209365,1718
Will monthly inflation increase by 0.4% or more in June?,2025-06,MoM,GT,2025-07-12,0.254,0.15,0.318,0.341,0.164,0.421,0.071,0.0,-0.0907,-0.0907,0.0507,179843.15505,2231
Will monthly inflation increase by 0.0% or less in June?,2025-06,MoM,LT,2025-07-12,0.254,0.15,0.318,0.341,0.045,0.218,0.014,0.0,-0.0336,-0.0336,-0.0064,179415.110172,1871
Will annual inflation increase by 2.9% or less in September?,2025-09,YoY,LT,2025-10-12,2.988,0.157,2.928,3.013,0.287,0.43,0.129,0.0,-0.149,-0.149,0.109,179320.73927,1310
Will monthly inflation increase by 0.1% in July?,2025-07,MoM,BUCKET,2025-08-12,0.16,0.149,0.064,0.151,0.243,0.201,0.069,0.0,-0.0886,-0.0886,-0.0886,177448.837604,1553
Will annual inflation increase by 2.7% in August?,2025-08,YoY,BUCKET,2025-09-08,2.841,0.158,2.779,2.916,0.169,0.186,0.035,0.0,-0.0549,-0.0549,0.0149,173482.577924,1513
Will monthly inflation increase by 0.3% in June?,2025-06,MoM,BUCKET,2025-07-12,0.254,0.15,0.318,0.341,0.25,0.097,0.329,1.0,-0.6906,-0.6906,0.6506,172692.687228,1733
Will monthly inflation increase by 0.1% in June?,2025-06,MoM,BUCKET,2025-07-12,0.254,0.15,0.318,0.341,0.158,0.085,0.111,0.0,-0.1314,0.0914,0.0914,165001.23982,1705
Will annual inflation increase by 3.0% or more in August?,2025-08,YoY,GT,2025-09-08,2.841,0.158,2.779,2.916,0.156,0.129,0.191,0.0,0.1713,0.1713,0.1713,164614.502563,1573
Will monthly inflation increase by 0.4% or more in August?,2025-08,MoM,GT,2025-09-08,0.305,0.149,0.153,0.287,0.261,0.098,0.363,1.0,-0.6574,-0.6574,-0.6574,161189.8005,1232
