city,date,kind,thr,unit,observed,implied,mkt,outcome,side,pnl,gross,vol
Hong Kong,2026-07-01,LT,26.0,C,31.7,0.0011,0.0025,0.0,NO,-0.0175,0.0025,19631.582272000003
Hong Kong,2026-07-01,BUCKET,27.0,C,31.7,0.0056,0.003,0.0,YES,-0.023,-0.003,13411.879166
Hong Kong,2026-07-01,BUCKET,28.0,C,31.7,0.0231,0.0005,0.0,YES,-0.0205,-0.0005,10530.298272
Hong Kong,2026-07-01,BUCKET,29.0,C,31.7,0.0679,0.0055,0.0,YES,-0.0255,-0.0055,13025.777693000007
Hong Kong,2026-07-01,BUCKET,30.0,C,31.7,0.1423,0.007,0.0,YES,-0.027,-0.007,15362.262902000008
Hong Kong,2026-07-01,BUCKET,31.0,C,31.7,0.213,0.0395,0.0,YES,-0.0595,-0.0395,46385.032402000004
Hong Kong,2026-07-01,BUCKET,32.0,C,31.7,0.2279,0.355,0.0,NO,0.335,0.355,40829.51579999997
Hong Kong,2026-07-01,BUCKET,33.0,C,31.7,0.1741,0.515,1.0,NO,-0.505,-0.485,43736.54553800015
Hong Kong,2026-07-01,BUCKET,34.0,C,31.7,0.0951,0.095,0.0,YES,-0.115,-0.095,58752.61739300002
Hong Kong,2026-07-01,BUCKET,35.0,C,31.7,0.0371,0.011,0.0,YES,-0.031,-0.011,11306.185649999992
Hong Kong,2026-07-01,GT,36.0,C,31.7,0.0127,0.0015,0.0,YES,-0.0215,-0.0015,5547.264759000003
Atlanta,2026-07-01,LT,85.0,F,91.8,0.0198,0.0025,0.0,YES,-0.0225,-0.0025,994.6371439999999
Atlanta,2026-07-01,BUCKET,86.0,F,91.8,0.0219,0.0075,0.0,YES,-0.0275,-0.0075,2948.5652029999997
Atlanta,2026-07-01,BUCKET,88.0,F,91.8,0.0604,0.033,0.0,YES,-0.053,-0.033,3299.3277049999992
Atlanta,2026-07-01,BUCKET,90.0,F,91.8,0.1093,0.075,0.0,YES,-0.095,-0.075,8427.179099
Atlanta,2026-07-01,BUCKET,92.0,F,91.8,0.1295,0.265,0.0,NO,0.245,0.265,5649.769991999999
Atlanta,2026-07-01,BUCKET,94.0,F,91.8,0.1005,0.415,1.0,NO,-0.605,-0.585,8035.930933000006
Atlanta,2026-07-01,BUCKET,96.0,F,91.8,0.051,0.15,0.0,NO,0.13,0.15,7022.824000000003
Atlanta,2026-07-01,BUCKET,98.0,F,91.8,0.017,0.032,0.0,NO,0.012,0.032,3266.6039420000016
Atlanta,2026-07-01,BUCKET,100.0,F,91.8,0.0037,0.0105,0.0,NO,-0.0095,0.0105,3016.526707
Atlanta,2026-07-01,BUCKET,102.0,F,91.8,0.0005,0.006,0.0,NO,-0.014,0.006,3984.088364
Atlanta,2026-07-01,GT,104.0,F,91.8,0.0001,0.0065,0.0,NO,-0.0135,0.0065,2412.659886
Miami,2026-07-01,LT,83.0,F,89.5,0.025,0.0065,0.0,YES,-0.0265,-0.0065,3656.4413299999997
Miami,2026-07-01,BUCKET,84.0,F,89.5,0.0262,0.005,0.0,YES,-0.025,-0.005,1842.178913
Miami,2026-07-01,BUCKET,86.0,F,89.5,0.0679,0.012,0.0,YES,-0.032,-0.012,2259.94581
Miami,2026-07-01,BUCKET,88.0,F,89.5,0.1152,0.08,0.0,YES,-0.1,-0.08,8675.454246
Miami,2026-07-01,BUCKET,90.0,F,89.5,0.1281,0.455,0.0,NO,0.435,0.455,13896.462279
Miami,2026-07-01,BUCKET,92.0,F,89.5,0.0932,0.375,1.0,NO,-0.645,-0.625,13152.552360000012
Miami,2026-07-01,BUCKET,94.0,F,89.5,0.0444,0.0905,0.0,NO,0.0705,0.0905,8146.490139000001
Miami,2026-07-01,BUCKET,96.0,F,89.5,0.0139,0.013,0.0,YES,-0.033,-0.013,4623.341996000002
Miami,2026-07-01,BUCKET,98.0,F,89.5,0.0028,0.0035,0.0,NO,-0.0165,0.0035,3752.825030000002
Miami,2026-07-01,BUCKET,100.0,F,89.5,0.0004,0.0035,0.0,NO,-0.0165,0.0035,4394.872742
Miami,2026-07-01,GT,102.0,F,89.5,0.0,0.002,0.0,NO,-0.018,0.002,867.402
Kuala Lumpur,2026-07-01,LT,26.0,C,30.3,0.0127,0.0005,0.0,YES,-0.0205,-0.0005,14906.261467
Kuala Lumpur,2026-07-01,BUCKET,27.0,C,30.3,0.0371,0.0005,0.0,YES,-0.0205,-0.0005,10777.568500000001
Kuala Lumpur,2026-07-01,BUCKET,28.0,C,30.3,0.0951,0.001,0.0,YES,-0.021,-0.001,11288.552029
Kuala Lumpur,2026-07-01,BUCKET,29.0,C,30.3,0.1741,0.0005,0.0,YES,-0.0205,-0.0005,8143.023870000001
